ssn,name,address,homenumber,mobilenumber,email,role,rank,licence
3009907461,William Carillo,Menntavegur 1,4640161,6507678,william.carillo@nanair.is,Pilot,Captain,NAFokkerF100
2910858778,Virginia Ho,Laugarvegur 12,6337442,7603419,virginia.ho@nanair.is,Pilot,Captain,NABAE146
2706838569,Gerard Nelson,Menntavegur 1,7449780,0860066,gerard.nelson@nanair.is,Pilot,Captain,NAFokkerF100
2209955782,Allen Ley,Laugarvegur 12,2546882,1234567,allen.ley@nanair.is,Pilot,Captain,NABAE146
2907675667,Felecia Moye,Kringlan 1,4799507,3106942,felecia.moye@nanair.is,Pilot,Captain,NABAE146
1309797899,Tyler Anderson,Kringlan 1,0678816,1503886,tyler.anderson@nanair.is,Pilot,Captain,NAFokkerF28
2410876598,Nan Gage,Laugarvegur 12,3100759,5287397,nan.gage@nanair.is,Pilot,Copilot,NAFokkerF100
2211658134,Charla Johnson,Menntavegur 1,4514605,4139814,charla.johnson@nanair.is,Pilot,Copilot,NABAE146
2504939263,Sam Preciado,Laugarvegur 12,5977187,4427442,sam.preciado@nanair.is,Pilot,Copilot,NABAE146
1900769521,Jasmine Hagadone,Laugarvegur 12,7771325,3126711,jasmine.hagadone@nanair.is,Pilot,Copilot,NABAE146
2500812671,Anna Phillips,Kringlan 1,8191927,5961160,anna.phillips@nanair.is,Pilot,Copilot,NABAE146
1309927223,Patricia Bates,Laugarvegur 12,4702176,2986806,patricia.bates@nanair.is,Pilot,Copilot,NAFokkerF28
1600904199,Sherry Walker,Holtavegur 14,1068167,4808454,sherry.walker@nanair.is,Cabincrew,Flight Service Manager,N/A
0303758167,Margarita Fischer,Menntavegur 1,2276813,0314836,margarita.fischer@nanair.is,Cabincrew,Flight Service Manager,N/A
2200763823,Judith Aleshire,Kringlan 1,9188497,6983157,judith.aleshire@nanair.is,Cabincrew,Flight Service Manager,N/A
1308941169,Jacob Blecha,Laugarvegur 12,6196546,0456609,jacob.blecha@nanair.is,Cabincrew,Flight Service Manager,N/A
1405853585,Lula Stefani,Holtavegur 14,2095988,6288964,lula.stefani@nanair.is,Cabincrew,Flight Service Manager,N/A
0909862878,Richard Sanders,Kringlan 1,2844200,5871242,richard.sanders@nanair.is,Cabincrew,Flight Service Manager,N/A
1811931544,John Kline,Kringlan 1,2011823,0572152,john.kline@nanair.is,Cabincrew,Flight Service Manager,N/A
0409858797,Evelyn Pickhardt,Kringlan 1,0109249,7153807,evelyn.pickhardt@nanair.is,Cabincrew,Flight Service Manager,N/A
3002688722,Stacey Henrickson,Holtavegur 14,0145234,2907738,stacey.henrickson@nanair.is,Cabincrew,Flight Attendant,N/A
3003962187,Delores Whitfield,Holtavegur 14,1293871,3642305,delores.whitfield@nanair.is,Cabincrew,Flight Attendant,N/A
1311772221,Maribel Lucero,Kringlan 1,7066173,3339029,maribel.lucero@nanair.is,Cabincrew,Flight Attendant,N/A
2509913418,Katherine Wernimont,Menntavegur 1,0478762,5365867,katherine.wernimont@nanair.is,Cabincrew,Flight Attendant,N/A
1103647756,Wilma Horne,Kringlan 1,3245529,2043695,wilma.horne@nanair.is,Cabincrew,Flight Attendant,N/A
2807755841,Bernard Carr,Menntavegur 1,4752258,9220218,bernard.carr@nanair.is,Cabincrew,Flight Attendant,N/A
0409907212,Sara Davis,Holtavegur 14,4542376,7590313,sara.davis@nanair.is,Cabincrew,Flight Attendant,N/A
1103912131,Robert Swope,Holtavegur 14,0801245,4834552,robert.swope@nanair.is,Cabincrew,Flight Attendant,N/A
2801645554,John Iversen,Holtavegur 14,2859196,2686880,john.iversen@nanair.is,Cabincrew,Flight Attendant,N/A
1501681497,Rhonda Forman,Holtavegur 14,1503741,8873967,rhonda.forman@nanair.is,Cabincrew,Flight Attendant,N/A
1811813379,Melissa Paquette,Laugarvegur 12,0558010,1743227,melissa.paquette@nanair.is,Cabincrew,Flight Attendant,N/A
0505942924,Carlton Chan,Holtavegur 14,4218054,1897624,carlton.chan@nanair.is,Cabincrew,Flight Attendant,N/A
1110732819,Arthur Karr,Menntavegur 1,0200077,3837344,arthur.karr@nanair.is,Cabincrew,Flight Attendant,N/A
2602806942,Teresa Thruman,Menntavegur 1,3341427,6470574,teresa.thruman@nanair.is,Cabincrew,Flight Attendant,N/A
1107951952,Elizabeth Mcfadden,Menntavegur 1,2957609,6902831,elizabeth.mcfadden@nanair.is,Cabincrew,Flight Attendant,N/A
1701728949,Emma Watson,Berggata 5,3657634,3849576,emma.watson@nanair.is,Cabincrew,Flight Attendant,N/A
2701886957,Tom Cruise,Kringlan 4,3849576,4758204,tom.cruise@nanair.is,Cabincrew,Flight Attendant,N/A
